student_id,age,gender,degree_type,stream,year_of_study,college_tier,urban_or_rural,daily_ai_tool_usage_hrs,primary_ai_tools_used,uses_ai_for_assignments,ai_replaces_own_thinking_score,ai_dependency_score,placement_anxiety_score,fear_of_job_loss_to_ai,career_clarity_score,internship_experience,weekly_job_application_count,resume_confidence_score,interview_anxiety_score,daily_study_hours,self_learning_hours_per_week,skill_development_courses_taken,social_media_hrs_per_day,sleep_hours,stress_level,burnout_score,motivation_score,seeks_career_counseling,overall_career_readiness_score
STU_00013,21,Female,B.Tech/B.E.,CS/IT,2,Tier 3,Rural,5.0,GitHub Copilot,Frequently,3,4,7,2,4,2,0,2,8,1.1,9.8,1,5.1,7.4,7,6,4,0.0,4.34
STU_00014,22,Female,B.Tech/B.E.,CS/IT,1,Tier 3,Urban,4.8,ChatGPT,Frequently,5,9,7,5,2,0,16,3,8,0.0,0.0,0,4.6,6.8,1,5,1,1.0,4.8
STU_00015,21,Male,B.Tech/B.E.,Engineering (Non-CS),1,Tier 3,Rural,1.9,Perplexity,Rarely,4,7,3,2,2,0,2,3,2,0.0,0.3,0,5.2,7.9,2,2,4,0.0,3.57
STU_00016,21,Female,B.Tech/B.E.,Arts/Sciences,2,Tier 1,Urban,1.4,Claude,Rarely,2,1,8,4,6,1,17,2,7,2.6,5.4,1,2.6,6.3,6,5,3,0.0,6.31
STU_00017,24,Male,M.Tech/M.Sc,CS/IT,2,Tier 1,Urban,1.8,ChatGPT,Rarely,5,3,1,3,5,2,11,4,1,3.4,2.4,0,2.6,6.8,3,6,6,0.0,6.96
STU_00018,21,Male,B.Sc/B.A/B.Com,Engineering (Non-CS),2,Tier 3,Rural,2.0,ChatGPT,Rarely,4,7,6,5,3,1,10,3,3,2.4,9.5,1,5.4,8.2,5,7,5,1.0,5.45
STU_00019,20,Female,B.Sc/B.A/B.Com,CS/IT,2,Tier 2,Urban,1.0,Gemini,Rarely,4,4,7,4,2,1,1,2,9,2.5,0.0,1,4.0,8.2,5,8,1,1.0,3.47
STU_00020,25,Male,B.Tech/B.E.,Commerce/Management,4,Tier 1,Urban,1.3,ChatGPT,Rarely,5,4,9,2,3,2,10,2,9,1.8,0.0,0,6.2,8.3,3,7,6,0.0,4.45
STU_00021,21,Male,B.Tech/B.E.,Engineering (Non-CS),3,Tier 1,Urban,2.3,Claude,Sometimes,3,4,3,3,7,3,11,5,2,5.2,9.5,2,,6.2,5,4,6,0.0,7.48
STU_00022,18,Male,B.Tech/B.E.,CS/IT,4,Tier 3,Urban,3.4,ChatGPT,Sometimes,4,9,1,5,9,2,15,4,8,1.6,5.3,2,4.7,7.9,5,8,1,0.0,5.37
STU_00023,22,Male,B.Tech/B.E.,CS/IT,4,Tier 2,Urban,5.6,GitHub Copilot,Always,4,10,4,5,7,3,18,5,6,2.5,13.4,7,3.7,7.2,4,7,4,1.0,6.84
STU_00024,20,Female,B.Tech/B.E.,Engineering (Non-CS),3,Tier 2,Urban,0.0,None,Never,3,3,6,4,1,4,11,5,6,0.5,0.0,0,2.8,7.3,5,6,4,0.0,5.59
STU_00025,22,Male,B.Tech/B.E.,Engineering (Non-CS),2,Tier 2,Rural,2.2,Claude,Rarely,3,2,9,4,1,2,11,3,6,2.6,2.7,1,0.9,6.1,9,9,1,1.0,5.61
STU_00026,19,Male,M.Tech/M.Sc,Arts/Sciences,1,Tier 3,Rural,0.0,None,Never,5,3,9,3,4,0,13,2,10,1.9,0.0,2,4.7,6.0,6,6,4,1.0,3.78
STU_00027,22,Female,B.Sc/B.A/B.Com,Engineering (Non-CS),3,Tier 3,Urban,2.4,Gemini,Sometimes,3,4,2,2,9,2,17,3,9,0.0,2.0,0,2.8,7.4,5,9,3,1.0,4.76
STU_00028,23,Female,B.Tech/B.E.,CS/IT,1,Tier 3,Rural,5.8,ChatGPT,Always,5,9,4,3,7,0,12,3,4,2.3,13.3,1,1.8,9.6,3,4,6,0.0,5.94
STU_00029,22,Male,B.Tech/B.E.,Commerce/Management,4,Tier 2,Rural,1.0,Gemini,Rarely,1,1,3,2,5,2,11,3,5,1.8,3.5,0,1.4,,5,4,5,0.0,5.99
STU_00030,20,Non-binary,B.Tech/B.E.,Arts/Sciences,3,Tier 2,Urban,1.1,Claude,Rarely,1,3,4,3,3,0,13,2,4,2.9,0.0,0,1.7,7.5,3,3,5,0.0,4.37
STU_00031,20,Female,B.Sc/B.A/B.Com,CS/IT,2,Tier 3,Urban,0.0,None,Never,1,3,8,4,3,1,9,3,8,0.9,1.6,1,3.7,7.3,5,6,3,1.0,5.22
STU_00032,19,Male,M.Tech/M.Sc,Commerce/Management,2,Tier 3,Urban,0.0,None,Never,2,1,8,3,8,1,16,5,10,5.4,5.6,8,1.0,7.8,7,6,5,1.0,6.16
STU_00033,22,Female,B.Sc/B.A/B.Com,CS/IT,3,Tier 1,Urban,3.5,Claude,Sometimes,3,6,9,5,2,4,20,1,10,3.5,11.9,1,2.9,4.8,5,5,5,0.0,7.47
STU_00034,20,Female,B.Tech/B.E.,Engineering (Non-CS),1,Tier 2,Urban,5.4,ChatGPT,Always,3,6,7,5,3,1,7,2,5,0.7,0.0,0,6.7,6.3,5,8,1,0.0,6.54
STU_00035,22,Female,B.Tech/B.E.,Engineering (Non-CS),1,Tier 1,Urban,0.0,None,Never,1,1,5,5,4,2,13,3,5,5.3,10.4,5,2.4,6.5,5,3,7,0.0,5.93
STU_00036,22,Female,B.Tech/B.E.,Arts/Sciences,2,Tier 3,Urban,2.5,Claude,Sometimes,3,8,7,5,3,1,11,3,7,1.1,2.5,0,3.9,6.8,6,9,1,1.0,5.29
STU_00037,21,Female,B.Sc/B.A/B.Com,CS/IT,3,Tier 3,Urban,3.2,Gemini,Sometimes,4,7,4,4,5,3,6,5,2,3.2,8.7,2,1.0,6.2,3,6,4,1.0,8.04
STU_00038,19,Male,B.Tech/B.E.,CS/IT,2,Tier 3,Urban,1.3,ChatGPT,Rarely,4,5,10,4,1,0,12,1,10,0.0,0.0,0,3.1,7.6,7,8,4,1.0,2.48
STU_00039,19,Female,MBA,Engineering (Non-CS),1,Tier 3,Urban,0.0,None,Never,2,2,10,4,1,0,10,2,10,1.1,0.0,1,4.9,7.2,8,9,2,1.0,4.62
STU_00040,23,Female,B.Tech/B.E.,Engineering (Non-CS),4,Tier 3,Urban,2.5,ChatGPT,Sometimes,3,4,8,5,4,4,7,4,10,2.8,6.0,1,1.1,7.3,2,5,4,0.0,6.03
STU_00041,21,Male,M.Tech/M.Sc,Arts/Sciences,1,Tier 1,Urban,0.7,Gemini,Never,3,7,9,5,4,2,15,2,8,5.4,7.1,2,2.2,7.7,8,9,3,1.0,5.59
STU_00042,24,Male,B.Sc/B.A/B.Com,CS/IT,3,Tier 3,Urban,0.0,None,Never,2,3,7,3,1,2,11,5,7,3.2,3.4,1,1.8,8.4,6,7,3,1.0,7.0
STU_00043,20,Male,M.Tech/M.Sc,Engineering (Non-CS),2,Tier 2,Urban,0.0,None,Never,4,5,3,3,7,2,12,4,3,2.0,1.7,3,4.2,6.7,4,6,4,0.0,6.45
STU_00044,20,Female,B.Sc/B.A/B.Com,Commerce/Management,1,Tier 2,Urban,0.0,None,Never,2,3,5,5,2,2,1,4,5,4.1,1.0,3,5.2,8.3,4,3,4,0.0,6.23
STU_00045,23,Female,B.Tech/B.E.,Engineering (Non-CS),1,Tier 3,Rural,1.8,Gemini,Rarely,4,5,7,3,4,0,1,2,6,0.0,0.0,1,2.8,6.6,3,7,4,1.0,2.05
STU_00046,23,Male,M.Tech/M.Sc,Arts/Sciences,2,Tier 2,Rural,0.1,None,Never,2,4,4,2,5,1,3,2,3,2.6,0.0,0,2.4,5.9,3,4,4,0.0,5.53
STU_00047,20,Male,B.Tech/B.E.,CS/IT,4,Tier 2,Urban,2.4,ChatGPT,Sometimes,5,7,8,5,3,3,17,4,5,2.4,10.8,3,4.3,6.9,7,9,3,1.0,5.72
STU_00048,21,Male,B.Sc/B.A/B.Com,CS/IT,2,Tier 2,Urban,3.1,ChatGPT,Sometimes,4,7,1,3,6,2,8,5,1,4.4,9.3,3,0.0,8.6,2,4,2,0.0,6.41
STU_00049,21,Female,B.Tech/B.E.,Engineering (Non-CS),2,Tier 3,Urban,2.3,ChatGPT,Sometimes,3,8,3,4,6,1,0,4,2,2.8,1.8,3,2.8,7.8,1,5,3,0.0,7.71
STU_00050,24,Female,B.Tech/B.E.,Engineering (Non-CS),3,Tier 2,Urban,4.8,Perplexity,Frequently,4,7,6,5,1,2,23,4,6,0.7,0.0,0,3.4,7.3,3,6,1,0.0,5.31
STU_00051,20,Male,B.Tech/B.E.,Engineering (Non-CS),4,Tier 3,Urban,2.1,Gemini,Rarely,1,1,1,1,4,2,12,5,2,3.6,4.1,2,1.5,,1,1,8,,7.08
STU_00052,20,Female,B.Sc/B.A/B.Com,Commerce/Management,1,Tier 3,Rural,5.0,Gemini,Frequently,5,10,9,5,3,2,8,2,8,3.1,4.5,1,5.4,5.2,7,8,7,0.0,6.21
STU_00053,19,Male,B.Tech/B.E.,CS/IT,2,Tier 1,Rural,1.2,ChatGPT,Rarely,5,3,8,2,5,2,8,2,8,4.0,0.0,1,4.4,5.9,4,3,5,0.0,6.17
STU_00054,21,Male,B.Sc/B.A/B.Com,CS/IT,2,Tier 1,Urban,1.9,ChatGPT,Rarely,3,4,1,1,8,3,8,5,1,3.6,12.2,2,4.1,7.4,1,1,8,0.0,6.43
STU_00055,19,Male,B.Tech/B.E.,CS/IT,2,Tier 2,Urban,2.8,Gemini,Sometimes,2,8,6,5,6,3,3,4,5,4.7,10.3,3,0.0,8.2,5,4,6,0.0,8.25
STU_00056,23,Male,M.Tech/M.Sc,Engineering (Non-CS),2,Tier 2,Urban,0.0,None,Never,2,1,1,3,6,2,0,5,1,4.1,1.6,3,2.9,6.2,4,5,4,0.0,9.22
STU_00057,22,Male,B.Sc/B.A/B.Com,Commerce/Management,2,Tier 3,Rural,0.0,None,Never,2,1,2,3,8,0,4,5,1,0.3,0.0,1,5.2,6.7,3,4,5,1.0,7.92
STU_00058,20,Male,B.Tech/B.E.,CS/IT,1,Tier 1,Urban,1.7,ChatGPT,Rarely,4,7,4,3,6,1,4,3,4,4.1,0.0,1,5.1,7.9,3,3,5,0.0,4.73
STU_00059,19,Female,B.Sc/B.A/B.Com,CS/IT,2,Tier 3,Urban,6.1,GitHub Copilot,Always,4,9,7,5,5,0,14,2,5,2.3,9.9,2,4.3,6.6,4,6,4,1.0,2.92
STU_00060,21,Female,B.Tech/B.E.,Arts/Sciences,4,Tier 2,Urban,0.0,None,Never,1,2,10,5,5,4,31,5,10,5.1,7.0,3,3.8,4.9,8,7,5,,9.23
STU_00061,21,Female,M.Tech/M.Sc,CS/IT,2,Tier 2,Urban,6.6,GitHub Copilot,Always,4,8,7,5,4,1,10,3,4,1.6,8.2,4,3.7,6.9,4,7,1,0.0,4.98
STU_00062,20,Female,B.Sc/B.A/B.Com,CS/IT,3,Tier 3,Urban,2.3,ChatGPT,Sometimes,4,6,2,5,8,2,24,3,10,1.0,13.1,5,2.8,7.1,4,5,6,0.0,6.29
STU_00063,20,Female,M.Tech/M.Sc,Engineering (Non-CS),1,Tier 3,Rural,2.6,Gemini,Sometimes,5,6,3,2,5,2,0,4,1,0.2,1.0,0,5.3,7.3,3,6,2,0.0,5.06
STU_00064,22,Non-binary,M.Tech/M.Sc,CS/IT,2,Tier 2,Urban,3.1,Perplexity,Sometimes,3,5,7,5,3,2,8,4,5,1.6,0.0,0,2.1,7.2,4,4,2,0.0,6.94
STU_00065,22,Male,B.Sc/B.A/B.Com,Commerce/Management,1,Tier 2,Urban,1.0,ChatGPT,Rarely,2,4,6,4,7,2,13,5,8,4.8,2.6,4,2.8,5.5,5,3,8,0.0,8.24
STU_00066,23,Male,M.Tech/M.Sc,Commerce/Management,2,Tier 2,Urban,2.2,Claude,Rarely,2,2,7,4,4,2,11,4,5,5.3,11.0,5,1.2,5.9,9,8,6,1.0,4.19
STU_00067,25,Female,B.Tech/B.E.,CS/IT,1,Tier 2,Urban,3.2,GitHub Copilot,Sometimes,4,6,6,3,5,2,6,4,7,3.1,10.8,1,1.5,7.2,5,7,5,1.0,5.63
STU_00068,23,Female,M.Tech/M.Sc,CS/IT,1,Tier 1,Urban,4.6,GitHub Copilot,Frequently,4,9,5,4,1,3,13,5,5,6.7,1.4,2,2.4,6.6,8,9,3,1.0,7.47
STU_00069,20,Female,B.Sc/B.A/B.Com,CS/IT,1,Tier 2,Urban,3.2,ChatGPT,Sometimes,4,5,9,4,5,2,15,2,10,3.2,7.8,1,2.1,6.2,6,2,7,0.0,5.42
STU_00070,21,Male,B.Tech/B.E.,CS/IT,3,Tier 2,Urban,2.2,ChatGPT,Rarely,4,7,8,5,3,1,13,4,7,4.2,9.8,0,4.1,6.5,4,6,4,0.0,4.93
STU_00071,20,Male,B.Sc/B.A/B.Com,Arts/Sciences,3,Tier 2,Urban,0.0,None,Never,1,1,5,4,3,2,17,3,6,2.8,3.0,3,5.8,6.9,4,4,5,1.0,5.67
STU_00072,24,Female,B.Sc/B.A/B.Com,CS/IT,1,Tier 1,Urban,3.0,GitHub Copilot,Sometimes,2,4,10,2,7,4,0,2,10,7.2,13.6,6,2.2,6.4,5,8,6,0.0,9.31
STU_00073,21,Male,B.Tech/B.E.,CS/IT,4,Tier 1,Urban,4.7,GitHub Copilot,Frequently,4,7,7,5,6,4,12,4,9,4.3,6.6,2,3.5,6.8,6,7,3,0.0,7.79
STU_00074,20,Male,B.Sc/B.A/B.Com,CS/IT,3,Tier 2,Urban,5.9,GitHub Copilot,Always,4,6,6,4,5,3,11,5,6,7.0,11.9,5,3.9,5.4,4,8,1,0.0,6.69
STU_00075,25,Male,MBA,Engineering (Non-CS),2,Tier 2,Urban,1.5,Perplexity,Rarely,5,8,9,5,1,1,14,3,9,0.0,0.0,1,3.5,5.8,6,9,1,1.0,4.12
STU_00076,20,Male,M.Tech/M.Sc,Arts/Sciences,2,Tier 3,Rural,0.0,None,Never,1,1,6,2,6,2,6,4,8,3.0,6.0,3,2.2,6.5,4,2,8,0.0,6.77
STU_00077,23,Male,B.Tech/B.E.,CS/IT,2,Tier 3,Urban,1.1,ChatGPT,Rarely,5,2,3,1,7,0,8,2,2,0.8,5.9,2,4.3,7.0,3,2,9,0.0,3.96
STU_00078,20,Female,B.Tech/B.E.,CS/IT,1,Tier 1,Urban,3.9,GitHub Copilot,Frequently,3,9,10,5,4,1,23,3,10,4.5,8.9,1,1.0,5.6,8,9,2,1.0,4.82
STU_00079,19,Female,B.Sc/B.A/B.Com,Engineering (Non-CS),3,Tier 1,Urban,0.2,Gemini,Never,2,4,3,4,4,3,12,4,2,4.4,0.0,4,1.5,6.1,4,7,7,0.0,7.51
STU_00080,21,Female,B.Sc/B.A/B.Com,Commerce/Management,3,Tier 3,Urban,1.6,Gemini,Rarely,5,5,5,3,3,2,13,2,3,0.0,0.0,0,4.9,8.0,5,9,1,1.0,5.02
STU_00081,19,Male,M.Tech/M.Sc,CS/IT,2,Tier 3,Urban,1.8,Claude,Rarely,3,3,5,3,3,1,6,3,6,2.6,4.7,2,3.8,8.7,1,3,7,0.0,3.37
STU_00082,20,Male,M.Tech/M.Sc,CS/IT,1,Tier 2,Urban,2.7,ChatGPT,Sometimes,4,6,5,4,5,1,5,4,5,4.2,13.6,0,3.1,6.0,5,6,6,0.0,6.75
STU_00083,22,Male,B.Sc/B.A/B.Com,Commerce/Management,2,Tier 2,Urban,0.4,Gemini,Never,1,1,2,2,5,2,0,5,4,4.5,12.0,5,0.0,8.3,3,3,8,0.0,7.85
STU_00084,20,Non-binary,M.Tech/M.Sc,Engineering (Non-CS),1,Tier 2,Urban,1.9,ChatGPT,Rarely,4,4,6,4,3,0,0,2,7,1.0,3.0,0,0.5,8.3,3,4,5,0.0,2.85
STU_00085,20,Male,B.Sc/B.A/B.Com,Commerce/Management,3,Tier 2,Rural,0.0,None,Never,2,3,4,3,5,3,12,3,7,2.4,0.0,0,5.0,6.5,4,4,6,0.0,3.37
STU_00086,22,Male,B.Tech/B.E.,CS/IT,2,Tier 2,Rural,0.3,ChatGPT,Never,2,3,2,1,8,1,6,3,3,2.1,8.1,2,3.1,8.1,2,7,2,0.0,7.89
STU_00087,23,Female,B.Sc/B.A/B.Com,Commerce/Management,3,Tier 3,Urban,0.0,None,Never,2,2,7,3,3,2,14,4,7,2.9,0.0,2,4.2,5.6,7,5,6,1.0,6.12
STU_00088,21,Male,B.Tech/B.E.,Engineering (Non-CS),2,Tier 3,Urban,1.9,Gemini,Rarely,1,3,3,2,5,2,6,2,2,1.3,12.2,0,2.8,7.6,5,4,7,0.0,4.92
STU_00089,20,Female,B.Sc/B.A/B.Com,Commerce/Management,2,Tier 3,Urban,0.0,None,Never,2,3,5,3,5,1,9,3,6,1.9,1.0,0,3.6,8.0,4,1,7,0.0,7.01
STU_00090,22,Female,B.Sc/B.A/B.Com,CS/IT,1,Tier 2,Urban,0.0,None,Never,1,1,7,4,5,1,2,3,6,2.8,0.0,2,4.2,6.9,6,7,4,1.0,5.14
STU_00091,21,Female,B.Sc/B.A/B.Com,Engineering (Non-CS),2,Tier 1,Rural,0.0,None,Never,4,2,7,4,7,2,0,3,5,3.8,0.0,1,3.2,6.8,4,5,5,0.0,6.35
STU_00092,21,Female,B.Sc/B.A/B.Com,Engineering (Non-CS),2,Tier 2,Urban,0.0,None,Never,2,4,5,4,6,3,3,5,5,5.7,2.3,2,2.8,4.9,5,4,6,0.0,7.38
STU_00093,20,Male,B.Sc/B.A/B.Com,Commerce/Management,2,Tier 3,Urban,2.8,ChatGPT,Sometimes,4,8,9,5,3,1,10,3,8,0.2,3.0,0,3.5,5.7,8,10,1,1.0,5.59
STU_00094,20,Male,B.Tech/B.E.,CS/IT,1,Tier 3,Urban,2.9,ChatGPT,Sometimes,3,5,7,3,6,2,15,3,5,2.0,7.2,3,1.5,4.8,5,5,5,0.0,7.56
STU_00095,22,Male,MBA,CS/IT,1,Tier 3,Urban,3.4,Gemini,Sometimes,5,9,10,5,5,0,16,1,10,0.3,6.4,1,4.1,,7,10,3,1.0,3.14
STU_00096,21,Female,M.Tech/M.Sc,CS/IT,2,Tier 2,Urban,3.1,GitHub Copilot,Sometimes,5,7,6,3,3,0,12,1,3,0.7,13.6,0,4.1,7.2,3,4,4,0.0,5.42
STU_00097,25,Female,M.Tech/M.Sc,Engineering (Non-CS),1,Tier 2,Urban,1.2,Gemini,Rarely,3,5,2,2,9,2,1,3,1,5.9,9.6,3,3.7,8.2,2,1,6,0.0,8.15
STU_00098,24,Non-binary,B.Tech/B.E.,Arts/Sciences,3,Tier 3,Urban,2.3,ChatGPT,Sometimes,2,6,8,4,6,2,16,3,9,2.2,11.9,2,0.0,9.5,5,5,5,,8.15
STU_00099,23,Female,B.Tech/B.E.,Commerce/Management,2,Tier 2,Urban,0.4,Gemini,Never,2,3,4,3,5,2,8,3,3,3.8,2.2,0,3.3,6.8,3,3,8,0.0,4.48
STU_00100,22,Male,B.Tech/B.E.,Commerce/Management,2,Tier 2,Urban,0.1,None,Never,2,1,4,1,5,2,7,4,3,2.1,0.0,1,3.2,6.8,2,4,3,1.0,5.93
STU_00101,19,Male,M.Tech/M.Sc,CS/IT,2,Tier 3,Urban,5.6,Claude,Always,4,8,9,5,1,1,9,2,8,0.0,6.1,0,6.0,6.8,6,9,1,1.0,4.46
STU_00102,24,Male,B.Sc/B.A/B.Com,CS/IT,1,Tier 2,Urban,1.0,ChatGPT,Rarely,4,3,5,4,3,2,4,4,7,2.6,0.0,3,3.9,8.3,3,4,1,0.0,5.98
STU_00103,22,Male,B.Tech/B.E.,Commerce/Management,3,Tier 3,Urban,2.5,ChatGPT,Sometimes,2,4,1,2,5,2,16,3,1,0.0,4.9,3,0.4,7.9,1,2,5,0.0,5.23
STU_00104,23,Female,B.Tech/B.E.,Arts/Sciences,3,Tier 3,Urban,0.4,ChatGPT,Never,2,1,7,3,2,2,16,3,9,0.0,0.0,1,0.3,6.0,7,10,2,1.0,6.02
STU_00105,20,Male,B.Sc/B.A/B.Com,Arts/Sciences,2,Tier 3,Rural,3.2,ChatGPT,Sometimes,4,7,6,5,5,3,4,4,6,2.0,2.1,3,3.6,6.6,4,6,4,0.0,8.05
STU_00106,20,Female,B.Sc/B.A/B.Com,CS/IT,2,Tier 3,Rural,7.1,Claude,Always,5,10,7,5,4,1,15,3,7,2.0,,1,2.2,8.2,5,9,5,1.0,6.27
STU_00107,24,Female,B.Tech/B.E.,Engineering (Non-CS),3,Tier 2,Urban,0.4,ChatGPT,Never,1,2,7,5,8,3,20,5,6,4.5,5.3,10,0.0,6.9,3,1,8,0.0,7.06
STU_00108,20,Female,B.Tech/B.E.,Commerce/Management,3,Tier 2,Urban,1.0,ChatGPT,Rarely,2,5,6,4,3,2,24,4,4,3.9,5.2,1,3.6,7.6,5,5,2,0.0,4.39
STU_00109,27,Female,B.Sc/B.A/B.Com,Arts/Sciences,1,Tier 2,Urban,0.3,ChatGPT,Never,1,3,10,5,4,0,13,2,10,3.8,,1,3.7,6.1,10,8,3,1.0,4.04
STU_00110,20,Female,B.Sc/B.A/B.Com,Commerce/Management,2,Tier 2,Urban,1.5,ChatGPT,Rarely,4,4,6,4,6,2,6,3,3,4.0,0.0,1,1.8,,4,8,5,0.0,6.28
STU_00111,19,Female,B.Tech/B.E.,Engineering (Non-CS),1,Tier 3,Rural,2.4,ChatGPT,Sometimes,5,7,7,3,3,0,10,1,8,0.0,5.1,0,5.1,7.7,6,8,3,0.0,2.74
STU_00112,22,Male,B.Sc/B.A/B.Com,Commerce/Management,1,Tier 3,Urban,0.1,None,Never,1,2,8,4,2,0,13,2,10,1.8,7.6,3,3.1,5.9,5,6,4,1.0,4.25
STU_00113,20,Female,B.Tech/B.E.,Engineering (Non-CS),4,Tier 2,Urban,1.2,ChatGPT,Rarely,4,5,5,3,6,3,17,4,4,2.7,0.2,1,0.4,7.7,2,4,5,0.0,7.16
STU_00114,20,Male,M.Tech/M.Sc,Arts/Sciences,1,Tier 1,Rural,0.0,None,Never,1,2,10,3,7,4,6,2,9,8.5,18.4,4,0.0,6.9,3,3,9,0.0,8.02
STU_00115,22,Male,M.Tech/M.Sc,CS/IT,1,Tier 2,Urban,2.0,ChatGPT,Rarely,2,5,10,5,4,1,17,2,10,3.2,5.4,1,4.3,6.0,9,10,2,1.0,4.68
STU_00116,21,Female,MBA,CS/IT,1,Tier 3,Urban,0.1,None,Never,1,1,8,4,4,0,3,1,6,4.0,5.8,0,1.9,5.3,8,8,4,0.0,5.12
STU_00117,24,Male,B.Tech/B.E.,Commerce/Management,1,Tier 2,Urban,1.1,Perplexity,Rarely,2,4,3,1,4,1,0,3,3,3.2,0.0,4,3.3,6.0,4,8,3,0.0,5.29
STU_00118,25,Male,MBA,CS/IT,2,Tier 2,Urban,1.9,ChatGPT,Rarely,3,4,3,3,2,2,5,4,3,3.0,4.9,1,1.8,7.7,3,5,6,0.0,4.26
STU_00119,21,Male,B.Sc/B.A/B.Com,Commerce/Management,2,Tier 2,Rural,0.0,None,Never,3,4,1,2,6,2,0,4,1,5.4,10.4,3,0.2,9.4,3,4,6,0.0,5.35
STU_00120,24,Male,M.Tech/M.Sc,CS/IT,1,Tier 2,Rural,7.0,ChatGPT,Always,5,10,7,5,5,2,4,5,5,3.8,18.0,2,0.7,9.5,5,7,2,0.0,7.92
STU_00121,22,Female,B.Tech/B.E.,Arts/Sciences,4,Tier 3,Rural,0.6,ChatGPT,Never,3,6,10,5,4,2,20,3,7,2.5,8.3,1,2.6,6.7,7,8,4,1.0,5.58
STU_00122,20,Male,B.Tech/B.E.,Commerce/Management,4,Tier 3,Urban,2.1,Claude,Rarely,1,4,6,5,4,3,15,4,4,0.6,5.5,2,3.3,8.1,2,2,3,0.0,7.88
STU_00123,22,Male,B.Tech/B.E.,Commerce/Management,2,Tier 2,Urban,3.0,ChatGPT,Sometimes,2,5,8,4,4,2,7,5,9,6.8,12.7,2,3.2,5.9,8,8,2,1.0,5.02
STU_00124,25,Female,B.Tech/B.E.,Engineering (Non-CS),2,Tier 2,Rural,1.5,ChatGPT,Rarely,4,6,9,3,3,0,8,1,10,0.0,0.0,0,2.2,7.7,4,6,3,0.0,6.76
STU_00125,22,Male,M.Tech/M.Sc,CS/IT,2,Tier 1,Rural,2.5,ChatGPT,Sometimes,3,5,10,5,8,3,10,1,10,3.6,9.8,1,,6.9,5,5,7,0.0,8.94
STU_00126,23,Male,B.Tech/B.E.,CS/IT,4,Tier 3,Rural,3.2,ChatGPT,Sometimes,3,4,5,4,4,4,14,5,2,6.8,15.6,2,0.0,6.0,6,4,7,0.0,8.54
